"","ID","Temp","RPM","pH","Replicate","GrowthCurves","LipidPeaks"
"37",8,70,50,3,"OD3","list(1505648282, 1505676614, 1505696120, 1505723820, 1505753885, 1505783771, 1505807840, 1505839799, 1505869165, 1505898027, 1505926033, 1505953308, 1505984308, 1506012673, 1506100200, 1506163080) / list(0, 0.017, 0.0304, 0.0654, 0.117, 0.1406, 0.18, 0.2176, 0.2774, 0.3338, 0.3852, 0.4462, 0.4738, 0.5062, 0.5918, 0.6736)"," "
"38",8,70,50,3,"OD4","list(1505648282, 1505676614, 1505696120, 1505723820, 1505753885, 1505783771, 1505807840, 1505839799, 1505869165, 1505898027, 1505926033, 1505953308, 1505984308, 1506012673, 1506100200, 1506163080) / list(-0.0016, 0.0184, 0.0296, 0.065, 0.1054, 0.1058, 0.1174, 0.162, 0.212, 0.2378, 0.2808, 0.3632, 0.4082, 0.441, 0.5526, 0.6724)"," "
"39",8,70,50,3,"OD5","list(1505648282, 1505676614, 1505696120, 1505723820, 1505753885, 1505783771, 1505807840, 1505839799, 1505869165, 1505898027, 1505926033, 1505953308, 1505984308, 1506012673, 1506100200, 1506163080) / list(-0.0056, 0.019, 0.028, 0.0666, 0.1096, 0.1364, 0.1584, 0.189, 0.228, 0.2582, 0.293, 0.3448, 0.3788, 0.4126, 0.5422, 0.5986)"," "
"40",9,70,125,3,"OD1","list(1507801200, 1507827540, 1507853580, 1507884779, 1507940700, 1507973220, 1508001487, 1508025840, 1508058180, 1508087280, 1508111700, 1508146920, 1508172652, 1508200542, 1508230260, 1508257920, 1508286720, 1508316869, 1508345360, 1508373086, 1508403132, 1508429026) / list(-8e-04, 0.035, 0.0372, 0.1014, 0.3976, 0.5842, 0.8002, 0.9404, 1.0852, 1.2058, 1.2484, 1.3012, 1.3888, 1.376, 1.4736, 1.4892, 1.4614, 1.5694, 1.522, 1.45, 1.456, 1.3644)"," "
"41",9,70,125,3,"OD2","list(1507801200, 1507827540, 1507853580, 1507884779, 1507940700, 1507973220, 1508001487, 1508025840, 1508058180, 1508087280, 1508111700, 1508146920, 1508172652, 1508200542, 1508230260, 1508257920, 1508286720, 1508316869, 1508345360, 1508373086, 1508403132, 1508429026) / list(0.0038, 0.041, 0.0482, 0.1062, 0.3886, 0.588, 0.8948, 1.0814, 1.2306, 1.3156, 1.3772, 1.505, 1.607, 1.5932, 1.6508, 1.6194, 1.6136, 1.7598, 1.7342, 1.7244, 1.7248, 1.6664)"," "
"42",9,70,125,3,"OD3","list(1507801200, 1507827540, 1507853580, 1507884779, 1507940700, 1507973220, 1508001487, 1508025840, 1508058180, 1508087280, 1508111700, 1508146920, 1508172652, 1508200542, 1508230260, 1508257920, 1508286720, 1508316869, 1508345360, 1508373086, 1508403132, 1508429026) / list(-0.0012, 0.0332, 0.0534, 0.1024, 0.359, 0.5416, 0.76, 0.8878, 1.0552, 1.1706, 1.2328, 1.3064, 1.3824, 1.3842, 1.467, 1.5088, 1.4744, 1.6296, 1.526, 1.442, 1.425, 1.3654)"," "
"43",9,70,125,3,"OD4","list(1507801200, 1507827540, 1507853580, 1507884779, 1507940700, 1507973220, 1508001487, 1508025840, 1508058180, 1508087280, 1508111700, 1508146920, 1508172652, 1508200542, 1508230260, 1508257920, 1508286720, 1508316869, 1508345360, 1508373086, 1508403132, 1508429026) / list(0.0026, 0.0282, 0.037, 0.097, 0.3532, 0.5136, 0.7886, 0.964, 1.1192, 1.2236, 1.2972, 1.3986, 1.5108, 1.5172, 1.659, 1.6298, 1.5806, 1.6788, 1.6168, 1.533, 1.5332, 1.4908)"," "
"44",9,70,125,3,"OD5","list(1507801200, 1507827540, 1507853580, 1507884779, 1507940700, 1507973220, 1508001487, 1508025840, 1508058180, 1508087280, 1508111700, 1508146920, 1508172652, 1508200542, 1508230260, 1508257920, 1508286720, 1508316869, 1508345360, 1508373086, 1508403132, 1508429026) / list(0.0064, 0.0234, 0.027, 0.07, 0.2372, 0.393, 0.5802, 0.7676, 0.9752, 1.119, 1.2014, 1.2954, 1.3694, 1.389, 1.525, 1.5572, 1.5954, 1.7172, 1.699, 1.6388, 1.6604, 1.6184)"," "
"45",10,70,300,3,"OD1","list(1505648493, 1505676686, 1505696206, 1505723904, 1505753969, 1505783868, 1505807952, 1505840016, 1505869338, 1505898123, 1505926133, 1505953408, 1505984407, 1506012804) / list(-0.0054, 0.0278, 0.042, 0.0842, 0.1732, 0.3262, 0.5588, 0.891, 1.3378, 1.8258, 2.2592, 2.5874, 2.7682, 2.7992)"," "
"46",10,70,300,3,"OD2","list(1505648493, 1505676686, 1505696206, 1505723904, 1505753969, 1505783868, 1505807952, 1505840016, 1505869338, 1505898123, 1505926133, 1505953408, 1505984407, 1506012804) / list(-0.0054, 0.0292, 0.0424, 0.0892, 0.187, 0.3624, 0.5528, 0.889, 1.3164, 1.5328, 1.7048, 1.8598, 2.0404, 2.268)"," "
"47",10,70,300,3,"OD3","list(1505648493, 1505676686, 1505696206, 1505723904, 1505753969, 1505783868, 1505807952, 1505840016, 1505869338, 1505898123, 1505926133, 1505953408, 1505984407, 1506012804) / list(-8e-04, 0.0326, 0.0538, 0.1122, 0.2324, 0.4284, 0.607, 0.9364, 1.1264, 1.213, 1.2758, 1.359, 1.4338, 1.4754)"," "
"48",10,70,300,3,"OD4","list(1505648493, 1505676686, 1505696206, 1505723904, 1505753969, 1505783868, 1505807952, 1505840016, 1505869338, 1505898123, 1505926133, 1505953408, 1505984407, 1506012804) / list(0.0016, 0.0398, 0.055, 0.1238, 0.2254, 0.4138, 0.6112, 0.9742, 1.866, 1.643, 1.8396, 2.0448, 2.2664, 2.4496)"," "
"49",10,70,300,3,"OD5","list(1505648493, 1505676686, 1505696206, 1505723904, 1505753969, 1505783868, 1505807952, 1505840016, 1505869338, 1505898123, 1505926133, 1505953408, 1505984407, 1506012804) / list(0.0018, 0.0324, 0.0448, 0.092, 0.1828, 0.3354, 0.4736, 0.722, 0.9656, 1.0926, 1.1582, 1.2242, 1.2806, 1.3596)"," "
